city,league
Atlanta,Southern
Augusta,Southern
Baltimore,Minor
Birmingham,Southern
Boston,American
Boston,American
Boston,National
Brooklyn,National
Buffalo,Minor
Charleston,Southern
Chicago,American
Chicago,National
Cincinnati,National
Cleveland,American
Columbia,Southern
Columbus,Minor
Columbus,Southern
Dallas,Southern
Danville,Southern
Detroit,American
Houston,Southern
Indianapolis,Minor
Jacksonville,Southern
Jersey City,Minor
Kansas City,Minor
Little Rock,Southern
Louisville,Minor
Lynchburg,Southern
Macon,Southern
Memphis,Southern
Milwaukee,Minor
Minneapolis,Minor
Mobile,Southern
Montgomery,Southern
Montreal,Minor
New York,American
New York,National
Nashville,Southern
New Orleans,Southern
Newark,Minor
Norfolk,Southern
Philadelphia,American
Philadelphia,National
Pittsburgh,National
Portsmouth,Southern
Providence,Minor
Richmond,Southern
Roanoke,Southern
Rochester,Minor
San Antonio,Southern
Savannah,Southern
Shreveport,Southern
St. Louis,American
St. Louis,National
St. Paul,Minor
Toledo,Minor
Toronto,Minor
Waco,Southern
Washington,American
